year,name,model,transmission,km,ownership,fuel,registeration,emi,payment,price
2014,Volkswagen Polo,GT TSI 1.2 PETROL AT,Automatic,"41,194",1st ,Petrol,MH,"11,136",Zero Down Payment,"5,69,599"
2018,Maruti Dzire,VXI,Manual,"41,059",1st ,Petrol,MH,"11,593",Zero Down Payment,"5,92,999"
2022,Hyundai AURA,S CNG,Manual,"9,215",1st ,Petrol + CNG,MH,"16,689",Zero Down Payment,"8,88,699"
2021,Volkswagen Vento,Highline 1.0 TSI MT,Manual,"8,689",1st ,Petrol,MH,"20,432",Zero Down Payment,"10,87,999"
2016,Maruti Celerio,VXI AMT,Automatic,"15,376",1st ,Petrol,MH,"8,450",Zero Down Payment,"4,32,199"
2012,Maruti Wagon R 1.0,VXI,Manual,"61,548",1st ,Petrol,MH,"5,570",Zero Down Payment,"2,84,899"
2018,Toyota Corolla Altis,G,Manual,"53,788",1st ,Petrol,MH,"19,814",Zero Down Payment,"10,55,099"
2016,Maruti Swift,ZXI,Manual,"81,517",1st ,Petrol,MH,"9,857",Zero Down Payment,"5,04,199"
2017,Maruti Swift,VXI,Manual,"48,040",1st ,Petrol,MH,"9,582",Zero Down Payment,"4,90,099"
2019,MG HECTOR,SHARP 2.0 DIESEL,Manual,"39,152",1st ,Diesel,MH,"28,967",Zero Down Payment,"15,42,499"
2014,Maruti Ertiga,VXI CNG,Manual,"86,803",1st ,Petrol + CNG,MH,"12,987",Zero Down Payment,"6,64,299"
2018,Tata Tiago,XE 1.2 REVOTRON,Manual,"17,837",1st ,Petrol,MH,"8,983",Zero Down Payment,"4,59,499"
2021,Tata TIGOR,Revotron XE,Manual,"1,313",1st ,Petrol,MH,"12,741",Zero Down Payment,"6,51,699"
2016,Maruti Celerio,VXI AMT,Automatic,"26,334",1st ,Petrol,MH,"8,567",Zero Down Payment,"4,38,199"
2020,Maruti New  Wagon-R,ZXI 1.2,Manual,"9,219",1st ,Petrol,MH,"12,764",Zero Down Payment,"6,52,899"
2013,Maruti Swift,VDI,Manual,"45,308",2nd ,Diesel,MH,"8,168",Zero Down Payment,"4,17,799"
2013,Maruti Wagon R 1.0,LXI,Manual,"61,841",1st ,Petrol,MH,"5,844",Zero Down Payment,"2,98,899"
2017,Ford Ecosport,1.5 TITANIUM TI VCT AT,Automatic,"34,859",2nd ,Petrol,MH,"12,045",Zero Down Payment,"6,16,099"
2016,Maruti Celerio,VXI CNG,Manual,"19,127",1st ,Petrol + CNG,MH,"9,386",Zero Down Payment,"4,80,099"
2019,Ford Ecosport,1.5 AMBIENTE TDCI,Manual,"87,301",1st ,Diesel,MH,"13,689",Zero Down Payment,"7,00,199"
2019,Honda Amaze,1.2 SMT I VTEC,Manual,"14,168",1st ,Petrol,MH,"11,888",Zero Down Payment,"6,08,099"
2019,Volkswagen Polo,COMFORTLINE  CUP EDITION,Manual,"11,718",1st ,Petrol,MH,"13,558",Zero Down Payment,"6,93,499"
2019,Datsun Redi Go,1.0 S AT,Automatic,"3,222",1st ,Petrol,MH,"6,940",Zero Down Payment,"3,54,999"
2011,Mercedes Benz E Class,E 250 CDI ELEGANCE,Automatic,"78,129",2nd ,Diesel,MH,"17,744",Zero Down Payment,"9,44,899"
2019,Renault Kwid,1.0 RXT Opt,Manual,"20,884",1st ,Petrol,MH,"7,890",Zero Down Payment,"4,03,599"
2020,KIA SELTOS,HTK PLUS 1.5 DIESEL,Manual,"26,188",1st ,Diesel,MH,"27,432",Zero Down Payment,"14,60,799"
2016,Hyundai Elite i20,MAGNA 1.2,Manual,"22,356",1st ,Petrol,MH,"10,285",Zero Down Payment,"5,26,099"
2014,Maruti Swift Dzire,VXI,Manual,"78,487",1st ,Petrol,MH,"8,229",Zero Down Payment,"4,20,899"
2017,Maruti Swift,VXI OPT,Manual,"37,414",1st ,Petrol,MH,"10,981",Zero Down Payment,"5,61,699"
2017,Maruti Swift,ZXI,Manual,"53,005",1st ,Petrol,MH,"10,749",Zero Down Payment,"5,49,799"
2019,Hyundai Elite i20,1.2 MAGNA PLUS VTVT,Manual,"36,248",1st ,Petrol,MH,"12,579",Zero Down Payment,"6,43,399"
2020,Maruti S PRESSO,VXI CNG,Manual,"18,982",1st ,Petrol + CNG,MH,"11,840",Zero Down Payment,"6,05,599"
2014,Maruti Swift Dzire,ZXI 1.2 BS IV,Manual,"55,095",1st ,Petrol,MH,"9,572",Zero Down Payment,"4,89,599"
2018,Maruti Celerio,ZXI AMT,Automatic,"42,307",2nd ,Petrol,MH,"7,892",Zero Down Payment,"4,03,699"
2022,Renault Duster,RXZ CVT 1.3 TURBO,Automatic,"9,752",1st ,Petrol,MH,"28,343",Zero Down Payment,"15,09,299"
2015,Skoda Rapid,1.5 TDI MT AMBITION,Manual,"58,087",1st ,Diesel,MH,"9,494",Zero Down Payment,"4,85,599"
2019,Maruti Celerio,VXI CNG OPT,Manual,"52,195",1st ,Petrol + CNG,MH,"11,406",Zero Down Payment,"5,83,399"
2016,Maruti Celerio,VXI AMT,Automatic,"44,156",1st ,Petrol,MH,"8,409",Zero Down Payment,"4,30,099"
2013,Hyundai i20,MAGNA O 1.2,Manual,"83,550",1st ,Petrol,MH,"6,758",Zero Down Payment,"3,45,699"
2018,Maruti Dzire,VDI AMT,Automatic,"51,691",1st ,Diesel,MH,"14,665",Zero Down Payment,"7,50,099"
2012,Honda City,V MT PETROL,Manual,"86,331",2nd ,Petrol,MH,"7,689",Zero Down Payment,"3,93,299"
2015,Maruti Wagon R 1.0,LXI,Manual,"24,359",1st ,Petrol,MH,"6,757",Zero Down Payment,"3,45,599"
2014,Honda CRV,2.4 AT 4WD AVN,Automatic,"1,02,872",1st ,Petrol,MH,"16,482",Zero Down Payment,"8,77,699"
2012,Honda City,1.5 E MT PETROL,Manual,"81,474",1st ,Petrol,MH,"7,689",Zero Down Payment,"3,93,299"
2021,Tata Tiago,XZA+ 1.2 RTN,Automatic,964,1st ,Petrol,MH,"14,320",Zero Down Payment,"7,32,499"
2019,Tata Harrier,XZ 2.0L Kryotec,Manual,"39,190",1st ,Diesel,MH,"30,606",Zero Down Payment,"16,29,799"
2014,Honda Brio,1.2 S MT I VTEC,Manual,"44,857",1st ,Petrol,MH,"7,515",Zero Down Payment,"3,84,399"
2015,Maruti Celerio,VXI CNG,Manual,"38,243",1st ,Petrol + CNG,MH,"8,006",Zero Down Payment,"4,09,499"
2013,Maruti Swift Dzire,VXI,Manual,"68,895",1st ,Petrol,MH,"8,758",Zero Down Payment,"4,47,999"
2016,Honda Jazz,1.2 V MT,Manual,"74,645",1st ,Petrol,MH,"9,445",Zero Down Payment,"4,83,099"
2015,Mahindra XUV500,W8 FWD,Manual,"68,363",2nd ,Diesel,MH,"14,428",Zero Down Payment,"7,37,999"
2016,Maruti Ciaz,ZXI AT,Automatic,"45,011",1st ,Petrol,MH,"12,911",Zero Down Payment,"6,60,399"
2017,Maruti Alto 800,VXI,Manual,"21,684",1st ,Petrol,MH,"5,783",Zero Down Payment,"2,95,799"
2016,Honda Jazz,1.2 S MT,Manual,"53,951",1st ,Petrol,MH,"8,737",Zero Down Payment,"4,46,899"
2018,Maruti Alto K10,VXI (O) AMT,Automatic,"5,762",1st ,Petrol,MH,"7,644",Zero Down Payment,"3,90,999"
2016,Honda Brio,1.2 S MT I VTEC,Manual,"19,706",2nd ,Petrol,MH,"7,198",Zero Down Payment,"3,68,199"
2018,Maruti Celerio,ZXI,Manual,"7,001",1st ,Petrol,MH,"10,186",Zero Down Payment,"5,20,999"
2014,Maruti Ritz,VXI,Manual,"58,849",1st ,Petrol,MH,"7,282",Zero Down Payment,"3,72,499"
2018,Tata Tiago,XZA 1.2 REVOTRON,Automatic,"18,719",2nd ,Petrol,MH,"10,238",Zero Down Payment,"5,23,699"
2016,Maruti Wagon R Stingray,VXI OPT,Manual,"27,435",1st ,Petrol,MH,"8,348",Zero Down Payment,"4,26,999"
2018,Datsun Redi Go,T (O),Manual,"40,174",2nd ,Petrol,MH,"5,470",Zero Down Payment,"2,79,799"
2017,Tata Tiago,XT 1.05 REVOTORQ,Manual,"91,942",2nd ,Diesel,MH,"8,051",Zero Down Payment,"4,11,799"
2013,Maruti Swift Dzire,VDI,Manual,"55,244",1st ,Diesel,MH,"10,174",Zero Down Payment,"5,20,399"
2019,Maruti Baleno,ZETA 1.2 K12,Manual,"28,953",1st ,Petrol,MH,"13,361",Zero Down Payment,"6,83,399"
2017,Hyundai Verna,FLUIDIC 1.4 VTVT,Manual,"48,188",1st ,Petrol,MH,"12,745",Zero Down Payment,"6,51,899"
2017,Volkswagen Vento,COMFORTLINE MT PETROL,Manual,"64,855",1st ,Petrol,MH,"11,259",Zero Down Payment,"5,75,899"
2016,Maruti Alto 800,VXI (O),Manual,"13,614",1st ,Petrol,MH,"5,969",Zero Down Payment,"3,05,299"
2012,Honda City,V MT PETROL,Manual,"87,176",2nd ,Petrol,MH,"8,250",Zero Down Payment,"4,21,999"
2017,Maruti Swift,VXI OPT,Manual,"23,307",1st ,Petrol,MH,"10,975",Zero Down Payment,"5,61,399"
2016,Maruti Celerio,ZXI AMT,Automatic,"37,249",1st ,Petrol,MH,"9,136",Zero Down Payment,"4,67,299"
2016,Toyota Corolla Altis,G AT,Automatic,"60,337",1st ,Petrol,MH,"15,887",Zero Down Payment,"8,45,999"
2014,Honda CRV,2.4 AT 4WD AVN,Automatic,"96,699",2nd ,Petrol,MH,"16,728",Zero Down Payment,"8,90,799"
2014,Honda Amaze,1.2 SMT I VTEC,Manual,"22,937",1st ,Petrol,MH,"8,620",Zero Down Payment,"4,40,899"
2016,Maruti Celerio,VXI CNG,Manual,"57,454",1st ,Petrol + CNG,MH,"8,563",Zero Down Payment,"4,37,999"
2016,Maruti Ciaz,VXI,Manual,"66,798",1st ,Petrol,MH,"12,295",Zero Down Payment,"6,28,899"
2021,Renault Duster,RXZ,Manual,"28,564",1st ,Petrol,MH,"16,514",Zero Down Payment,"8,79,399"
2015,Honda City,VX CVT PETROL,Automatic,"94,440",1st ,Petrol,HR,"13,435",Zero Down Payment,"6,87,199"
2015,Renault Duster,85 PS RXL,Manual,"80,797",1st ,Diesel,MH,"12,080",Zero Down Payment,"6,17,899"
2020,KIA SELTOS,HTK PLUS 1.5 DIESEL,Manual,"55,796",1st ,Diesel,MH,"24,557",Zero Down Payment,"13,07,699"
2018,Maruti Alto K10,VXI,Manual,"12,870",1st ,Petrol,MH,"6,925",Zero Down Payment,"3,54,199"
2022,Maruti Ciaz,ALPHA 1.5 MT VTVT SHVS,Manual,188,1st ,Petrol,MH,"22,285",Zero Down Payment,"11,86,699"
2016,Honda Jazz,1.2 S MT,Manual,"53,015",1st ,Petrol,MH,"9,903",Zero Down Payment,"5,06,549"
2022,Maruti Ciaz,ALPHA 1.5 MT VTVT SHVS,Manual,188,1st ,Petrol,MH,"22,341",Zero Down Payment,"11,89,699"
2015,Hyundai Elite i20,1.4 CRDI ASTA (O),Manual,"59,931",1st ,Diesel,MH,"12,399",Zero Down Payment,"6,34,199"
2020,Skoda Rapid,1.6 MPI MT ACTIVE,Manual,"41,858",1st ,Petrol,MH,"13,607",Zero Down Payment,"6,95,999"
2017,Maruti Swift,VXI OPT,Manual,"7,260",1st ,Petrol,MH,"11,437",Zero Down Payment,"5,84,999"
2019,Hyundai Verna,1.6 SX VTVT,Manual,"36,570",1st ,Petrol,MH,"17,207",Zero Down Payment,"9,16,299"
2022,Maruti Ciaz,1.5 ZETA VVT SHVS AT,Automatic,167,1st ,Petrol,MH,"22,830",Zero Down Payment,"12,15,699"
2020,Renault TRIBER,1.0 RXZ,Manual,"6,442",1st ,Petrol,MH,"13,608",Zero Down Payment,"6,96,049"
2017,Maruti Celerio,VXI CNG,Manual,"52,013",1st ,Petrol + CNG,MH,"9,329",Zero Down Payment,"4,77,199"
2018,Hyundai Elite i20,Magna Executive 1.2,Manual,"90,874",1st ,Petrol,MH,"10,123",Zero Down Payment,"5,17,799"
2019,MG HECTOR,SHARP DCT PETROL,Automatic,"7,432",2nd ,Petrol,MH,"26,520",Zero Down Payment,"14,12,199"
2019,Maruti Celerio,VXI CNG,Manual,"50,700",2nd ,Petrol + CNG,MH,"9,398",Zero Down Payment,"4,80,699"
2019,Mahindra XUV500,W11 (O) AT,Automatic,"37,939",1st ,Diesel,MH,"30,227",Zero Down Payment,"16,09,599"
2017,Hyundai Grand i10,MAGNA 1.2 VTVT,Manual,"36,733",1st ,Petrol,MH,"8,524",Zero Down Payment,"4,35,999"
2021,Hyundai AURA,S CNG,Manual,"8,073",1st ,Petrol + CNG,MH,"15,624",Zero Down Payment,"7,99,199"
2014,Maruti Wagon R 1.0,LXI CNG,Manual,"33,025",1st ,Petrol + CNG,MH,"7,480",Zero Down Payment,"3,82,599"
2016,Ford Ecosport,1.5 TREND TI VCT,Manual,"46,061",2nd ,Petrol,MH,"10,453",Zero Down Payment,"5,34,699"
