year,name,model,transmission,km,ownership,fuel,registeration,emi,payment,price
2021,Hyundai AURA,S CNG,Manual,"54,471",1st ,Petrol + CNG,GJ,"14,993",Zero Down Payment,"7,66,899"
2021,Maruti Vitara Brezza,ZXI+ AT SHVS,Automatic,"14,582",1st ,Petrol,GJ,"21,188",Zero Down Payment,"11,28,299"
2019,Tata TIGOR,XZ 1.2 REVOTRON,Manual,"10,028",1st ,Petrol,GJ,"12,584",Zero Down Payment,"6,43,699"
2017,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"23,332",1st ,Petrol,GJ,"10,238",Zero Down Payment,"5,23,699"
2018,Maruti Alto 800,VXI,Manual,"37,830",1st ,Petrol,GJ,"5,883",Zero Down Payment,"3,00,899"
2019,Honda Amaze,1.2 V MT I-VTEC,Manual,"44,758",3rd ,Petrol + CNG,GJ,"12,891",Zero Down Payment,"6,59,399"
2018,Maruti Alto 800,LXI,Manual,"25,154",1st ,Petrol,GJ,"5,988",Zero Down Payment,"3,06,299"
2020,Hyundai VENUE,S MT 1.2 KAPPA,Manual,"45,678",1st ,Petrol,GJ,"15,288",Zero Down Payment,"8,14,099"
2020,MG HECTOR,SHARP DCT PETROL,Automatic,"19,456",1st ,Petrol,GJ,"29,785",Zero Down Payment,"15,86,099"
2019,Jeep Compass,SPORT PLUS PETROL,Manual,"32,553",1st ,Petrol,GJ,"23,474",Zero Down Payment,"12,49,999"
2020,Ford Ecosport,1.5TITANIUM TDCI,Manual,"52,061",1st ,Diesel,GJ,"17,183",Zero Down Payment,"9,14,999"
2022,Hyundai VENUE,1.0L Turbo GDI SX MT,Manual,"13,671",1st ,Petrol,GJ,"19,953",Zero Down Payment,"10,62,499"
2020,Maruti XL6,ALPHA SHVS  MT,Manual,"11,754",1st ,Petrol,GJ,"19,862",Zero Down Payment,"10,57,699"
2020,Hyundai GRAND I10 NIOS,MAGNA 1.2 MT,Manual,"12,967",1st ,Petrol,GJ,"12,133",Zero Down Payment,"6,20,599"
2020,Hyundai Creta,SX PETROL MT,Manual,"8,387",1st ,Petrol,GJ,"24,809",Zero Down Payment,"13,21,099"
2020,MG HECTOR,SHARP DCT PETROL,Automatic,"32,507",1st ,Petrol,GJ,"29,222",Zero Down Payment,"15,56,099"
2020,Maruti Vitara Brezza,VXI,Manual,"40,741",1st ,Petrol,GJ,"16,450",Zero Down Payment,"8,75,999"
2019,Honda Amaze,1.2 SMT I VTEC,Manual,"65,618",1st ,Petrol,GJ,"12,541",Zero Down Payment,"6,41,499"
2017,Ford Ecosport,1.5 TITANIUM TI VCT,Manual,"38,536",1st ,Petrol,GJ,"13,476",Zero Down Payment,"6,89,299"
2018,Jeep Compass,2.0 LONGITUDE (O),Manual,"62,507",2nd ,Diesel,GJ,"21,295",Zero Down Payment,"11,33,999"
2017,Hyundai New Elantra,2.0 SX (O) MT,Manual,"85,649",1st ,Petrol,GJ,"19,827",Zero Down Payment,"10,55,799"
2018,Honda City,V MT PETROL,Manual,"67,173",1st ,Petrol,GJ,"15,665",Zero Down Payment,"8,34,199"
2019,Hyundai Elite i20,MAGNA+ VTVT,Manual,"21,228",1st ,Petrol,GJ,"13,069",Zero Down Payment,"6,68,499"
2020,Hyundai Creta,SX PETROL MT,Manual,"6,278",1st ,Petrol,GJ,"28,182",Zero Down Payment,"15,00,699"
2020,Maruti Ciaz,ALPHA 1.5 MT VTVT SHVS,Manual,"15,819",1st ,Petrol,GJ,"19,036",Zero Down Payment,"10,13,699"
